mpirun  --map-by node --mca pml ucx --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
#lambda[usec] (computed) -> -3.6, bandwidth[Mbytes/sec] (computed) -> 12071.83
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.98             0                  -3.6                       -0
        1            1000       0.98          1.02                  -3.6                    -0.28
        2            1000       0.99          2.02                  -3.6                    -0.55
        4            1000       0.99          4.04                  -3.6                    -1.11
        8            1000       0.98          8.13                  -3.6                    -2.22
       16            1000       0.99         16.15                  -3.6                    -4.44
       32            1000       1.01         31.72                  -3.6                    -8.88
       64            1000       1.14         56.21                  -3.6                   -17.78
      128            1000       1.18         108.3                 -3.59                   -35.62
      256            1000       1.42        180.67                 -3.58                   -71.44
      512            1000       1.48        344.72                 -3.56                  -143.74
     1024            1000       1.65        621.89                 -3.52                  -290.94
     2048            1000        2.3        890.62                 -3.43                  -596.24
     4096            1000        3.2       1282.42                 -3.27                 -1254.45
     8192            1000       4.46       1834.89                 -2.93                 -2799.88
    16384            1000       6.26       2615.19                 -2.25                 -7290.93
    32768            1000       8.38       3909.08                 -0.89                 -36823.9
    65536             640      12.25       5351.75                  1.82                  35914.4
   131072             320      18.47       7097.16                  7.25                  18068.8
   262144             160      31.94       8205.83                 18.11                    14473
   524288              80      54.94       9548.43                 39.83                  13163.2
  1048576              40      97.39       10767.3                 83.26                  12593.4
  2097152              20     183.73       11415.8                170.13                  12326.6
  4194304              10     352.56       11896.9                343.87                  12197.4
  8388608               5     693.93       12088.7                691.34                  12133.8
 16777216               2    1382.68       12133.9               1386.29                  12102.2
 33554432               1    2760.37       12155.8               2776.19                  12086.5
 67108864               1    5523.68       12149.3               5555.97                  12078.7
134217728               1      11036       12161.9               11115.5                  12074.8
268435456               1      22080       12157.4               22234.7                  12072.8
536870912               1    44575.2       12044.2                 44473                  12071.8
