mpirun  --map-by node --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007, tnode008
#lambda[usec] (computed) -> -3.44, bandwidth[Mbytes/sec] (computed) -> 12073.22
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.99             0                 -3.44                       -0
        1            1000       0.98          1.02                 -3.44                    -0.29
        2            1000       0.99          2.02                 -3.44                    -0.58
        4            1000       0.99          4.05                 -3.44                    -1.16
        8            1000       0.98          8.14                 -3.44                    -2.32
       16            1000       0.99          16.2                 -3.44                    -4.65
       32            1000       1.01         31.79                 -3.44                     -9.3
       64            1000       1.14         56.32                 -3.44                   -18.61
      128            1000       1.18        108.55                 -3.43                   -37.27
      256            1000       1.41        181.49                 -3.42                   -74.78
      512            1000       1.48        345.16                  -3.4                  -150.48
     1024            1000       1.64        623.59                 -3.36                  -304.77
     2048            1000       2.31        887.88                 -3.28                  -625.32
     4096            1000        3.2       1278.83                 -3.11                 -1318.96
     8192            1000       4.48       1827.63                 -2.77                 -2961.48
    16384            1000       6.37       2574.74                 -2.09                 -7848.21
    32768            1000       8.54       3838.14                 -0.73                   -44860
    65536             640      12.32       5319.38                  1.98                  33034.5
   131072             320      18.58       7054.28                  7.41                  17682.6
   262144             160      31.99        8195.6                 18.27                  14348.5
   524288              80      54.85       9563.18                 39.98                  13112.3
  1048576              40      97.54       10750.5                 83.41                  12570.8
  2097152              20     183.11       11453.9                170.27                  12316.5
  4194304              10      353.2       11875.3                343.99                  12193.2
  8388608               5     692.88       12106.9                691.42                  12132.4
 16777216               2    1381.98         12140               1386.29                  12102.3
 33554432               1    2760.47       12155.4               2776.02                  12087.3
 67108864               1    5527.46         12141               5555.48                  12079.8
134217728               1    11035.4       12162.5               11114.4                    12076
268435456               1    22078.6       12158.1               22232.2                  12074.1
536870912               1    44568.9       12045.9               44467.9                  12073.2
