mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -23.49, bandwidth[Mbytes/sec] (computed) -> 3238.21
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       8.38             0                -23.49                       -0
        1            1000       8.44          0.12                -23.49                    -0.04
        2            1000       8.51          0.23                -23.49                    -0.09
        4            1000       8.43          0.48                -23.49                    -0.17
        8            1000       8.43          0.95                -23.49                    -0.34
       16            1000       8.41           1.9                -23.48                    -0.68
       32            1000       8.44           3.8                -23.48                    -1.36
       64            1000       8.44          7.59                -23.47                    -2.73
      128            1000       8.79         14.58                -23.45                    -5.46
      256            1000       8.82         29.06                -23.41                   -10.94
      512            1000       8.89         57.66                -23.33                   -21.94
     1024            1000       9.96         102.9                -23.17                   -44.19
     2048            1000       9.46        216.57                -22.86                    -89.6
     4096            1000      11.18         366.6                -22.22                   -184.3
     8192            1000      11.94        686.36                -20.96                  -390.86
    16384            1000      15.92       1029.02                -18.43                  -889.04
    32768            1000      26.16       1252.97                -13.37                 -2451.11
    65536             640      57.98       1130.62                 -3.25                 -20177.2
   131072             320      81.31       1612.15                 16.99                   7713.2
   262144             160     123.77       2118.22                 57.48                  4560.96
   524288              80     196.98       2661.83                138.44                   3787.1
  1048576              40      326.7       3209.62                300.37                  3490.94
  2097152              20     621.07       3376.68                624.23                  3359.58
  4194304              10    1209.58        3467.6               1271.95                  3297.54
  8388608               5       2418       3469.25               2567.39                  3267.37
 16777216               2    5180.67       3238.58               5158.27                  3252.49
 33554432               1    10725.2       3128.58                 10340                   3245.1
 67108864               1    20727.5       3239.13               20703.5                  3241.42
134217728               1    40621.7       3305.28               41430.6                  3239.58
268435456               1    82046.1       3274.36               82884.6                  3238.67
536870912               1     166389       3228.08                165793                  3238.21
