mpirun  --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode007
#lambda[usec] (computed) -> -121.72, bandwidth[Mbytes/sec] (computed) -> 3943.48
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.55             0               -121.72                       -0
        1            1000       0.63           1.6               -121.72                    -0.01
        2            1000       0.63          3.18               -121.72                    -0.02
        4            1000       0.62          6.41               -121.72                    -0.03
        8            1000       0.62         12.84               -121.72                    -0.07
       16            1000       0.66         24.38               -121.72                    -0.13
       32            1000       0.71         45.37               -121.71                    -0.26
       64            1000       0.92          69.8                -121.7                    -0.53
      128            1000       1.08        119.02               -121.69                    -1.05
      256            1000       1.14         224.5               -121.65                     -2.1
      512            1000        1.2        428.44               -121.59                    -4.21
     1024            1000       1.43        718.11               -121.46                    -8.43
     2048            1000       1.74       1181.44                -121.2                    -16.9
     4096            1000       2.69        1524.8               -120.68                   -33.94
     8192            1000       3.34       2455.91               -119.64                   -68.47
    16384            1000       3.57       4585.73               -117.56                  -139.37
    32768            1000       4.91       6664.05                -113.4                  -288.95
    65536             640       6.24       10506.6               -105.09                  -623.64
   131072             320      11.45       11452.7                -88.45                 -1481.85
   262144             160      19.71       13302.8                -55.18                 -4750.32
   524288              80      39.87       13151.2                 11.35                  46192.1
  1048576              40      91.97       11401.7                144.42                  7260.62
  2097152              20     225.15       9314.68                410.56                  5108.05
  4194304              10     411.08       10205.8                942.84                   4448.6
  8388608               5     879.85       9534.26               2007.39                  4178.86
 16777216               2    3236.43       5183.93                4136.5                   4055.9
 33554432               1    8460.37       3966.08               8394.72                  3997.09
 67108864               1    17077.9       3929.58               16911.2                  3968.32
134217728               1    34091.2       3937.03               33944.1                  3954.09
268435456               1    68080.1       3942.94               68009.8                  3947.01
536870912               1     136095       3944.83                136141                  3943.48
