mpirun  --map-by socket --mca pml ucx --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
ct1pt-tnode008
#lambda[usec] (computed) -> -113.09, bandwidth[Mbytes/sec] (computed) -> 5714.99
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.41             0               -113.09                       -0
        1            1000       0.39          2.56               -113.09                    -0.01
        2            1000        0.4          5.03               -113.09                    -0.02
        4            1000       0.39         10.25               -113.09                    -0.04
        8            1000       0.39         20.59               -113.09                    -0.07
       16            1000        0.4         39.98               -113.09                    -0.14
       32            1000       0.55         58.07               -113.09                    -0.28
       64            1000       0.55        115.63               -113.08                    -0.57
      128            1000       0.86        148.68               -113.07                    -1.13
      256            1000       0.92        278.79               -113.05                    -2.26
      512            1000       1.12         456.9                  -113                    -4.53
     1024            1000       1.32         773.9               -112.91                    -9.07
     2048            1000       2.07        990.63               -112.73                   -18.17
     4096            1000       2.97        1378.3               -112.37                   -36.45
     8192            1000       4.77       1716.24               -111.66                   -73.37
    16384            1000       7.29        2247.6               -110.22                  -148.65
    32768            1000      12.82       2556.61               -107.35                  -305.24
    65536             640      23.96       2735.58               -101.61                  -644.97
   131072             320      45.76        2864.4                -90.13                 -1454.27
   262144             160      14.25       18400.2                -67.17                 -3902.87
   524288              80      25.33       20702.3                -21.24                 -24681.4
  1048576              40      54.22       19338.1                 70.61                  14850.8
  2097152              20      141.8       14789.2                254.31                  8246.56
  4194304              10     288.64       14531.4                 621.7                  6746.46
  8388608               5     606.13       13839.7                1356.5                  6184.01
 16777216               2       1843       9103.21               2826.09                  5936.54
 33554432               1    5390.64       6224.57               5765.27                  5820.09
 67108864               1    11726.9       5722.65               11643.6                  5763.56
134217728               1    23501.6          5711               23400.4                  5735.71
268435456               1    46942.6       5718.38               46913.8                  5721.88
536870912               1    93959.5       5713.85               93940.8                  5714.99
