#mpirun  --map-by socket --mca pml ob1 --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.64,1.55
2,1000,0.62,3.21
4,1000,0.64,6.23
8,1000,0.62,12.83
16,1000,0.66,24.08
32,1000,0.81,39.57
64,1000,0.78,81.84
128,1000,1.14,112.28
256,1000,1.14,225.39
512,1000,1.19,431.05
1024,1000,1.42,719.90
2048,1000,1.64,1248.21
4096,1000,2.86,1434.03
8192,1000,3.05,2688.39
16384,1000,3.68,4458.02
32768,1000,4.70,6966.36
65536,640,6.75,9715.92
131072,320,9.65,13577.76
262144,160,19.10,13721.59
524288,80,38.40,13652.00
1048576,40,89.18,11757.40
2097152,20,216.03,9707.62
4194304,10,406.68,10313.64
8388608,5,875.55,9580.91
16777216,2,3206.24,5232.68
33554432,1,8462.72,3964.97
67108864,1,17053.85,3935.12
134217728,1,34067.28,3939.78
268435456,1,68104.86,3941.50
