#mpirun  --map-by socket --mca pml ucx --mca btl self,tcp -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#ct1pt-tnode007
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.47
2,1000,0.39,5.08
4,1000,0.40,10.09
8,1000,0.40,20.09
16,1000,0.40,40.41
32,1000,0.55,58.03
64,1000,0.55,115.60
128,1000,0.92,139.40
256,1000,0.91,280.82
512,1000,1.14,450.84
1024,1000,1.37,744.77
2048,1000,2.11,972.56
4096,1000,2.99,1370.27
8192,1000,4.82,1698.65
16384,1000,7.39,2217.52
32768,1000,12.96,2527.81
65536,640,24.71,2652.40
131072,320,44.72,2930.87
262144,160,14.68,17857.37
524288,80,26.02,20150.18
1048576,40,56.12,18682.97
2097152,20,144.94,14468.76
4194304,10,301.82,13896.56
8388608,5,605.78,13847.68
16777216,2,1891.08,8871.76
33554432,1,5560.43,6034.50
67108864,1,11938.23,5621.34
134217728,1,23878.02,5620.97
268435456,1,48490.06,5535.89
