#mpirun  --map-by socket --mca pml ucx --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#ct1pt-tnode007
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.48
2,1000,0.40,5.02
4,1000,0.40,10.03
8,1000,0.40,20.15
16,1000,0.40,40.16
32,1000,0.56,56.76
64,1000,0.55,115.95
128,1000,0.90,142.45
256,1000,0.94,272.57
512,1000,1.13,453.65
1024,1000,1.34,764.73
2048,1000,2.09,978.65
4096,1000,3.00,1367.45
8192,1000,4.80,1707.93
16384,1000,7.19,2278.10
32768,1000,13.77,2380.38
65536,640,25.10,2610.98
131072,320,45.78,2862.99
262144,160,13.66,19193.34
524288,80,24.42,21466.87
1048576,40,53.36,19650.35
2097152,20,139.75,15006.31
4194304,10,295.00,14218.04
8388608,5,620.00,13530.09
16777216,2,1948.37,8610.88
33554432,1,5597.11,5994.95
67108864,1,11918.80,5630.51
134217728,1,23858.99,5625.46
268435456,1,47558.20,5644.36
