mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.10
2,1000,0.24,8.18
4,1000,0.24,16.38
8,1000,0.24,32.79
16,1000,0.24,65.56
32,1000,0.29,111.51
64,1000,0.28,224.60
128,1000,0.39,327.69
256,1000,0.45,574.02
512,1000,0.48,1073.99
1024,1000,0.60,1712.81
2048,1000,0.83,2476.83
4096,1000,1.22,3362.06
8192,1000,2.00,4094.98
16384,1000,3.55,4621.65
32768,1000,4.49,7305.20
65536,640,6.06,10818.01
131072,320,8.81,14871.75
262144,160,12.54,20911.86
524288,80,25.00,20974.00
1048576,40,49.95,20992.40
2097152,20,135.61,15464.20
4194304,10,303.62,13814.44
8388608,5,905.58,9263.20
16777216,2,2397.49,6997.82
33554432,1,5363.25,6256.37
67108864,1,10850.53,6184.85
134217728,1,21694.62,6186.68
268435456,1,42768.47,6276.48
536870912,1,85560.35,6274.76
