mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,2.49,0.00
1,1000,3.11,0.32
2,1000,3.05,0.66
4,1000,3.20,1.25
8,1000,3.14,2.55
16,1000,3.09,5.18
32,1000,3.06,10.46
64,1000,3.06,20.94
128,1000,2.86,44.78
256,1000,2.86,89.50
512,1000,3.07,166.75
1024,1000,3.16,324.53
2048,1000,3.27,625.80
4096,1000,3.56,1149.24
8192,1000,3.65,2245.99
16384,1000,3.78,4333.74
32768,1000,4.52,7253.87
65536,640,6.02,10893.18
131072,320,9.05,14490.68
262144,160,14.84,17667.88
524288,80,31.58,16600.68
1048576,40,84.71,12378.92
2097152,20,193.68,10828.04
4194304,10,480.25,8733.56
8388608,5,1699.14,4936.99
16777216,2,3985.15,4209.93
33554432,1,8103.89,4140.53
67108864,1,16263.09,4126.45
134217728,1,32627.99,4113.58
268435456,1,64448.04,4165.15
536870912,1,126537.83,4242.77
