mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.72,0.00
1,1000,8.76,0.11
2,1000,8.15,0.25
4,1000,8.22,0.49
8,1000,8.19,0.98
16,1000,8.12,1.97
32,1000,8.15,3.92
64,1000,8.19,7.81
128,1000,8.32,15.39
256,1000,8.31,30.80
512,1000,10.79,47.46
1024,1000,11.21,91.32
2048,1000,13.16,155.57
4096,1000,14.26,287.26
8192,1000,16.49,496.68
16384,1000,26.01,629.81
32768,1000,37.55,872.57
65536,640,64.50,1016.11
131072,320,121.05,1082.81
262144,160,132.98,1971.26
524288,80,195.29,2684.61
1048576,40,325.08,3225.62
2097152,20,587.11,3571.99
4194304,10,1247.85,3361.23
8388608,5,2431.40,3450.12
16777216,2,5100.89,3289.08
33554432,1,10308.89,3254.90
67108864,1,20837.69,3220.55
134217728,1,41174.85,3259.70
268435456,1,82244.96,3263.85
536870912,1,165006.10,3253.64
