mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.25
2,1000,0.44,4.52
4,1000,0.44,9.04
8,1000,0.44,18.07
16,1000,0.44,36.06
32,1000,0.62,51.48
64,1000,0.62,103.73
128,1000,1.00,128.26
256,1000,1.11,230.34
512,1000,1.21,424.29
1024,1000,1.46,700.16
2048,1000,2.27,902.70
4096,1000,3.26,1256.00
8192,1000,5.19,1577.08
16384,1000,4.73,3460.69
32768,1000,5.42,6040.59
65536,640,6.81,9623.44
131072,320,9.46,13855.97
262144,160,12.57,20858.73
524288,80,25.91,20236.17
1048576,40,50.30,20844.56
2097152,20,139.29,15056.36
4194304,10,293.34,14298.55
8388608,5,654.05,12825.69
16777216,2,2141.45,7834.51
33554432,1,5912.26,5675.40
67108864,1,12572.29,5337.84
134217728,1,25146.57,5337.42
268435456,1,49480.21,5425.11
536870912,1,97725.70,5493.65
