mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.56,0.00
1,1000,1.57,0.64
2,1000,1.59,1.26
4,1000,1.58,2.54
8,1000,1.58,5.05
16,1000,1.59,10.09
32,1000,1.58,20.30
64,1000,1.69,37.91
128,1000,1.86,68.97
256,1000,1.95,131.36
512,1000,2.04,251.55
1024,1000,2.05,498.76
2048,1000,2.40,851.90
4096,1000,3.37,1215.20
8192,1000,3.95,2073.71
16384,1000,4.37,3749.16
32768,1000,5.28,6206.20
65536,640,6.69,9791.28
131072,320,9.74,13459.58
262144,160,15.41,17016.77
524288,80,33.04,15867.84
1048576,40,86.00,12192.96
2097152,20,202.61,10350.45
4194304,10,411.54,10191.62
8388608,5,1055.51,7947.48
16777216,2,3728.18,4500.11
33554432,1,9570.05,3506.19
67108864,1,19201.20,3495.03
134217728,1,37883.53,3542.90
268435456,1,75743.37,3544.01
536870912,1,147897.19,3630.03
