mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.97,0.0
1,1000,7.95,0.13
2,1000,7.97,0.25
4,1000,7.96,0.5
8,1000,7.95,1.01
16,1000,7.94,2.02
32,1000,7.96,4.02
64,1000,8.23,7.78
128,1000,8.24,15.53
256,1000,8.26,30.98
512,1000,10.08,50.84
1024,1000,10.26,99.78
2048,1000,10.71,191.25
4096,1000,11.88,344.86
8192,1000,13.1,625.38
16384,1000,22.81,718.53
32768,1000,34.55,949.05
65536,640,55.38,1183.44
131072,320,102.61,1277.41
262144,160,113.13,2317.4
524288,80,174.17,3010.31
1048576,40,307.26,3412.72
2097152,20,614.84,3411.84
4194304,10,1223.91,3427.23
8388608,5,2453.34,3419.28
16777216,2,5053.23,3320.19
33554432,1,10337.82,3245.81
67108864,1,20455.26,3280.81
134217728,1,41075.43,3267.63
268435456,1,81897.53,3277.88
536870912,1,163551.89,3282.63
