mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.2,0.0
1,1000,0.2,5.0
2,1000,0.2,10.25
4,1000,0.19,20.86
8,1000,0.19,42.04
16,1000,0.19,83.18
32,1000,0.23,139.26
64,1000,0.23,276.67
128,1000,0.32,405.76
256,1000,0.34,752.85
512,1000,0.39,1309.96
1024,1000,0.5,2035.56
2048,1000,0.75,2727.22
4096,1000,1.13,3632.27
8192,1000,1.91,4292.69
16384,1000,3.02,5436.66
32768,1000,4.92,6666.39
65536,640,8.5,7714.09
131072,320,15.59,8414.09
262144,160,13.76,19093.21
524288,80,24.93,21059.93
1048576,40,53.07,19769.9
2097152,20,141.92,14784.02
4194304,10,317.24,13227.95
8388608,5,898.54,9337.13
16777216,2,2386.96,7028.79
33554432,1,5344.62,6278.18
67108864,1,10967.77,6121.18
134217728,1,21899.96,6131.28
268435456,1,43484.56,6175.62
536870912,1,86399.86,6216.29
