mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.53
2,1000,0.29,6.91
4,1000,0.29,13.98
8,1000,0.29,27.92
16,1000,0.30,54.01
32,1000,0.30,106.40
64,1000,0.34,186.68
128,1000,0.40,318.17
256,1000,0.48,533.66
512,1000,0.64,803.99
1024,1000,0.73,1398.81
2048,1000,0.85,2400.28
4096,1000,1.82,2248.11
8192,1000,2.09,3920.40
16384,1000,2.80,5845.04
32768,1000,3.79,8636.77
65536,640,5.93,11059.34
131072,320,9.74,13459.49
262144,160,19.35,13544.52
524288,80,39.33,13331.22
1048576,40,92.28,11362.47
2097152,20,223.26,9393.50
4194304,10,583.22,7191.65
8388608,5,1612.67,5201.68
16777216,2,3927.36,4271.88
33554432,1,8367.79,4009.95
67108864,1,16767.27,4002.37
134217728,1,34693.15,3868.71
268435456,1,65259.97,4113.32
536870912,1,134024.50,4005.77
