mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.97
2,1000,0.20,10.08
4,1000,0.20,20.22
8,1000,0.19,42.26
16,1000,0.19,84.54
32,1000,0.23,140.39
64,1000,0.24,271.18
128,1000,0.31,408.89
256,1000,0.34,742.61
512,1000,0.40,1287.75
1024,1000,0.50,2034.81
2048,1000,0.75,2719.78
4096,1000,1.13,3627.80
8192,1000,1.88,4354.37
16384,1000,2.98,5505.06
32768,1000,4.81,6814.17
65536,640,8.35,7853.16
131072,320,15.77,8312.98
262144,160,14.00,18726.45
524288,80,25.08,20903.34
1048576,40,53.87,19466.22
2097152,20,143.17,14647.94
4194304,10,314.61,13331.69
8388608,5,896.41,9358.06
16777216,2,2393.40,7009.77
33554432,1,5342.18,6281.04
67108864,1,10897.24,6158.34
134217728,1,22814.42,5883.02
268435456,1,43059.76,6234.02
536870912,1,85498.32,6279.32
