mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.93,0.00
1,1000,15.97,0.06
2,1000,16.02,0.12
4,1000,15.88,0.25
8,1000,15.87,0.50
16,1000,15.97,1.00
32,1000,16.02,2.00
64,1000,16.17,3.96
128,1000,17.02,7.52
256,1000,16.91,15.14
512,1000,16.93,30.24
1024,1000,17.76,57.67
2048,1000,38.90,52.64
4096,1000,39.05,104.90
8192,1000,39.72,206.23
16384,1000,41.47,395.08
32768,1000,49.05,668.11
65536,640,63.64,1029.74
131072,320,118.83,1102.98
262144,160,165.14,1587.44
524288,80,240.70,2178.17
1048576,40,396.59,2644.01
2097152,20,721.96,2904.81
4194304,10,1485.05,2824.36
8388608,5,3277.15,2559.73
16777216,2,6838.02,2453.52
33554432,1,13593.07,2468.50
67108864,1,26662.66,2516.96
134217728,1,52236.67,2569.42
268435456,1,103057.84,2604.71
536870912,1,201194.43,2668.42
