mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.60,0.00
1,1000,8.63,0.12
2,1000,8.62,0.23
4,1000,8.59,0.47
8,1000,8.62,0.93
16,1000,8.61,1.86
32,1000,8.63,3.71
64,1000,8.58,7.46
128,1000,8.95,14.30
256,1000,9.02,28.39
512,1000,9.07,56.45
1024,1000,10.03,102.12
2048,1000,9.55,214.47
4096,1000,11.23,364.76
8192,1000,12.04,680.26
16384,1000,15.92,1029.22
32768,1000,26.26,1248.01
65536,640,58.53,1119.62
131072,320,81.52,1607.76
262144,160,124.26,2109.62
524288,80,197.09,2660.21
1048576,40,325.70,3219.42
2097152,20,619.46,3385.45
4194304,10,1204.15,3483.20
8388608,5,2408.50,3482.91
16777216,2,5137.81,3265.44
33554432,1,10693.94,3137.71
67108864,1,20953.24,3202.79
134217728,1,39821.77,3370.46
268435456,1,80154.85,3348.96
536870912,1,162590.00,3301.99
