mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.56,0.00
1,1000,0.59,1.69
2,1000,0.59,3.39
4,1000,0.59,6.78
8,1000,0.59,13.46
16,1000,0.65,24.62
32,1000,0.70,45.44
64,1000,0.84,75.81
128,1000,1.08,118.12
256,1000,1.19,215.42
512,1000,1.15,444.23
1024,1000,1.45,706.80
2048,1000,1.79,1144.08
4096,1000,2.74,1492.65
8192,1000,3.51,2331.77
16384,1000,3.91,4188.01
32768,1000,5.12,6396.90
65536,640,6.45,10157.24
131072,320,11.24,11664.17
262144,160,19.93,13150.37
524288,80,40.28,13014.74
1048576,40,94.31,11118.53
2097152,20,217.81,9628.21
4194304,10,445.37,9417.55
8388608,5,1082.24,7751.13
16777216,2,3929.28,4269.80
33554432,1,9833.71,3412.18
67108864,1,19679.38,3410.11
134217728,1,38951.54,3445.76
268435456,1,76834.97,3493.66
536870912,1,150929.91,3557.09
