mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -6.94, bandwidth[Mbytes/sec] (computed) -> 5240.9
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,4.77,0.0,-6.94,-0.0
1,1000,4.82,0.21,-6.94,-0.14
2,1000,4.81,0.42,-6.94,-0.29
4,1000,4.8,0.83,-6.94,-0.58
8,1000,4.81,1.66,-6.94,-1.15
16,1000,4.81,3.33,-6.94,-2.31
32,1000,4.8,6.66,-6.94,-4.61
64,1000,4.82,13.27,-6.93,-9.24
128,1000,4.84,26.45,-6.92,-18.5
256,1000,4.86,52.67,-6.89,-37.14
512,1000,6.46,79.32,-6.84,-74.81
1024,1000,6.59,155.5,-6.75,-151.79
2048,1000,6.86,298.58,-6.55,-312.63
4096,1000,7.54,543.35,-6.16,-664.93
8192,1000,8.35,980.96,-5.38,-1523.11
16384,1000,14.87,1101.73,-3.82,-4294.3
32768,1000,22.15,1479.4,-0.69,-47565.95
65536,640,39.75,1648.44,5.56,11778.82
131072,320,74.34,1763.13,18.07,7253.79
262144,160,53.69,4882.79,43.08,6084.97
524288,80,88.4,5931.05,93.1,5631.28
1048576,40,151.23,6933.55,193.15,5428.89
2097152,20,280.21,7485.13,393.24,5333.06
4194304,10,622.47,6742.01,793.41,5286.4
8388608,5,1458.29,5752.44,1593.77,5263.37
16777216,2,3167.4,5296.86,3194.48,5251.94
33554432,1,6456.8,5196.8,6395.91,5246.24
67108864,1,12914.66,5196.37,12798.75,5243.39
134217728,1,25645.12,5233.69,25604.45,5241.97
268435456,1,51159.45,5247.1,51215.83,5241.26
536870912,1,102443.14,5240.7,102438.61,5240.9
