mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
#lambda[usec] (computed) -> -41.03, bandwidth[Mbytes/sec] (computed) -> 6200.8
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.2,0.0,-41.03,-0.0
1,1000,0.2,5.0,-41.03,-0.02
2,1000,0.2,10.25,-41.03,-0.05
4,1000,0.19,20.86,-41.03,-0.1
8,1000,0.19,42.04,-41.02,-0.2
16,1000,0.19,83.18,-41.02,-0.39
32,1000,0.23,139.26,-41.02,-0.78
64,1000,0.23,276.67,-41.02,-1.56
128,1000,0.32,405.76,-41.01,-3.12
256,1000,0.34,752.85,-40.98,-6.25
512,1000,0.39,1309.96,-40.94,-12.51
1024,1000,0.5,2035.56,-40.86,-25.06
2048,1000,0.75,2727.22,-40.7,-50.32
4096,1000,1.13,3632.27,-40.37,-101.47
8192,1000,1.91,4292.69,-39.7,-206.33
16384,1000,3.02,5436.66,-38.38,-426.86
32768,1000,4.92,6666.39,-35.74,-916.87
65536,640,8.5,7714.09,-30.45,-2152.11
131072,320,15.59,8414.09,-19.88,-6593.83
262144,160,13.76,19093.21,1.27,206418.61
524288,80,24.93,21059.93,43.57,12034.38
1048576,40,53.07,19769.9,128.16,8181.92
2097152,20,141.92,14784.02,297.34,7053.01
4194304,10,317.24,13227.95,635.71,6597.84
8388608,5,898.54,9337.13,1312.44,6391.6
16777216,2,2386.96,7028.79,2665.91,6293.24
33554432,1,5344.62,6278.18,5372.85,6245.18
67108864,1,10967.77,6121.18,10786.72,6221.43
134217728,1,21899.96,6131.28,21614.47,6209.62
268435456,1,43484.56,6175.62,43269.97,6203.74
536870912,1,86399.86,6216.29,86580.97,6200.8
