mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -61.52, bandwidth[Mbytes/sec] (computed) -> 3606.2
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       1.56             0                -61.52                       -0
        1            1000       1.57          0.64                -61.52                    -0.02
        2            1000       1.57          1.28                -61.52                    -0.03
        4            1000       1.57          2.56                -61.52                    -0.07
        8            1000       1.57          5.11                -61.51                    -0.13
       16            1000       1.57         10.22                -61.51                    -0.26
       32            1000       1.56          20.5                -61.51                    -0.52
       64            1000       1.64         39.12                 -61.5                    -1.04
      128            1000       1.83         70.14                -61.48                    -2.08
      256            1000       1.94        132.28                -61.45                    -4.17
      512            1000       2.01        254.88                -61.37                    -8.34
     1024            1000       2.05        501.19                -61.23                   -16.72
     2048            1000       2.41        849.25                -60.95                    -33.6
     4096            1000       3.51       1169.97                -60.38                   -67.84
     8192            1000       3.96       2069.93                -59.24                  -138.28
    16384            1000       4.35       3769.27                -56.97                  -287.58
    32768            1000       5.15       6357.78                -52.43                  -625.03
    65536             640       6.63       9884.95                -43.34                 -1512.27
   131072             320       9.65         13587                -25.16                 -5210.47
   262144             160      15.52       16893.4                 11.21                  23393.5
   524288              80      32.65       16058.3                 83.93                  6246.84
  1048576              40      85.73       12231.4                229.37                  4571.47
  2097152              20     202.99       10331.3                520.26                  4030.94
  4194304              10     412.21       10175.4               1102.05                  3805.93
  8388608               5    1057.46       7933.34               2265.61                  3702.59
 16777216               2    3744.45       4480.74               4592.73                  3652.99
 33554432               1    9576.46       3503.85               9246.98                  3628.69
 67108864               1    19185.4       3497.93               18555.5                  3616.66
134217728               1      38065       3526.04               37172.5                  3610.67
268435456               1    75446.8       3557.96               74406.5                  3607.69
536870912               1     148084       3625.46                148874                   3606.2
