mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
#lambda[usec] (computed) -> 87.81, bandwidth[Mbytes/sec] (computed) -> 2591.45
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000      16.25             0                 87.81                        0
        1            1000      16.28          0.06                 87.81                     0.01
        2            1000      16.29          0.12                 87.81                     0.02
        4            1000      16.28          0.25                 87.81                     0.05
        8            1000      16.29          0.49                 87.81                     0.09
       16            1000      16.33          0.98                 87.82                     0.18
       32            1000      16.35          1.96                 87.82                     0.36
       64            1000      16.54          3.87                 87.84                     0.73
      128            1000      17.05          7.51                 87.86                     1.46
      256            1000      17.04         15.03                 87.91                     2.91
      512            1000      17.36          29.5                 88.01                     5.82
     1024            1000      17.85         57.37                 88.21                    11.61
     2048            1000      39.21         52.23                  88.6                    23.11
     4096            1000      39.68        103.24                 89.39                    45.82
     8192            1000      40.57        201.97                 90.97                    90.05
    16384            1000      42.38        386.68                 94.13                   174.06
    32768            1000      50.72        646.58                100.45                   326.21
    65536             640      63.16       1037.81                113.09                    579.5
   131072             320     118.22       1109.57                138.37                   947.27
   262144             160     163.12       1614.04                188.93                  1387.55
   524288              80     241.69       2187.24                290.04                  1807.64
  1048576              40     389.44       2725.43                492.27                  2130.09
  2097152              20     715.31        2966.4                896.73                  2338.67
  4194304              10    1505.36       2819.55               1705.64                  2459.08
  8388608               5     3345.6       2526.99               3323.47                  2524.05
 16777216               2    6830.45       2474.07               6559.14                  2557.84
 33554432               1    13546.3       2496.54               13030.5                  2575.08
 67108864               1    26490.9       2558.65               25973.1                  2583.78
134217728               1    52745.2       2572.25               51858.4                  2588.16
268435456               1     103320       2622.92                103629                  2590.35
536870912               1     207000       2628.22                207170                  2591.45
