mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
#lambda[usec] (computed) -> -56.24, bandwidth[Mbytes/sec] (computed) -> 3497.68
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       0.55             0                -56.24                       -0
        1            1000       0.61          1.65                -56.24                    -0.02
        2            1000       0.61          3.31                -56.24                    -0.04
        4            1000       0.61          6.57                -56.24                    -0.07
        8            1000        0.6         13.25                -56.24                    -0.14
       16            1000       0.67         23.93                -56.23                    -0.28
       32            1000       0.73          43.9                -56.23                    -0.57
       64            1000       0.86            74                -56.22                    -1.14
      128            1000       1.04        123.33                 -56.2                    -2.28
      256            1000       1.18        215.97                -56.17                    -4.56
      512            1000       1.05        487.92                -56.09                    -9.13
     1024            1000       1.44        715.07                -55.95                    -18.3
     2048            1000       1.75       1170.23                -55.65                    -36.8
     4096            1000       2.72       1507.19                -55.07                   -74.38
     8192            1000       3.38       2426.16                 -53.9                     -152
    16384            1000        3.8        4312.9                -51.55                  -317.81
    32768            1000       4.99       6564.82                -46.87                  -699.17
    65536             640       6.29       10427.5                 -37.5                 -1747.84
   131072             320      11.24       11665.7                -18.75                 -6989.94
   262144             160      20.02       13095.1                 18.74                  13991.3
   524288              80      39.51       13272.1                 93.71                  5594.69
  1048576              40      90.86       11548.1                243.66                  4303.39
  2097152              20     217.45       9646.05                543.56                  3858.14
  4194304              10     439.14        9568.9               1143.37                  3668.37
  8388608               5    1081.42        7757.6               2342.98                  3580.32
 16777216               2    3899.41       4302.76               4742.19                  3537.86
 33554432               1    9946.07       3375.81               9540.63                     3517
 67108864               1      19705        3405.7               19137.5                  3506.67
134217728               1    38941.9       3446.62               38331.2                  3501.52
268435456               1    78548.6       3419.83               76718.7                  3498.96
536870912               1     152383       3524.71                153494                  3497.68
