Time,Iterations,#Processors
0.00000592,1,1
0.00001281,1,2
0.00001819,1,3
0.00002210,1,4
0.00002437,1,5
0.00002754,1,6
0.00002925,1,7
0.00003315,1,8
0.00003470,1,9
0.00003638,1,10
0.00003831,1,11
0.00003818,1,12
0.00003963,1,13
0.00004091,1,14
0.00004217,1,15
0.00004745,1,16
0.00005039,1,17
0.00005151,1,18
0.00005326,1,19
0.00005299,1,20
0.00005404,1,21
0.00005319,1,22
0.00005567,1,23
0.00005895,1,24
0.00006616,1,25
0.00007061,1,26
0.00007191,1,27
0.00007525,1,28
0.00007695,1,29
0.00007893,1,30
0.00008057,1,31
0.00008223,1,32
0.00008365,1,33
0.00008847,1,34
0.00008933,1,35
0.00009027,1,36
0.00009274,1,37
0.00009399,1,38
0.00009464,1,39
0.00009765,1,40
0.00009827,1,41
0.00010031,1,42
0.00010089,1,43
0.00010413,1,44
0.00010374,1,45
0.00010664,1,46
0.00010757,1,47
0.00010733,1,48
