Distribution    Topology      Runtime [sec]    Matrix Time [sec]    #Processors
--------------  ----------  ---------------  -------------------  -------------
2400x100x100    6x4                0.541599             0.521607             24
2400x100x100    4x6                0.532189             0.523509             24
2400x100x100    8x3                0.561946             0.524422             24
2400x100x100    3x8                0.574556             0.530258             24
2400x100x100    12x2               0.571522             0.534615             24
2400x100x100    2x12                0.57714             0.522158             24
2400x100x100    24x1               0.562696             0.526692             24
2400x100x100    1x24               0.543147             0.523746             24
2400x100x100    24x1x1             0.563101              0.51977             24
2400x100x100    1x24x1             0.566772             0.538085             24
2400x100x100    1x1x24             0.585818             0.530177             24
2400x100x100    12x2x1             0.549077             0.517489             24
2400x100x100    1x12x2              0.55187              0.52316             24
2400x100x100    2x1x12              0.57424             0.533715             24
2400x100x100    6x2x2              0.543921              0.53492             24
2400x100x100    2x6x2              0.567455              0.52702             24
2400x100x100    2x2x6              0.542576             0.521578             24
2400x100x100    4x3x2              0.532635             0.521895             24
2400x100x100    3x2x4              0.569142             0.523506             24
2400x100x100    2x3x4              0.530415             0.523099             24
2400x100x100    4x2x3              0.561699              0.51995             24
2400x100x100    3x4x2              0.563644              0.52198             24
2400x100x100    2x4x3              0.578258             0.524891             24
1200x200x100    6x4                 0.56702             0.524996             24
1200x200x100    4x6                0.569175             0.521632             24
1200x200x100    8x3                0.539733             0.519758             24
1200x200x100    3x8                0.550658             0.522588             24
1200x200x100    12x2               0.552787             0.525055             24
1200x200x100    2x12               0.564668             0.522403             24
1200x200x100    24x1               0.548553             0.520397             24
1200x200x100    1x24               0.589144             0.522418             24
1200x200x100    24x1x1             0.563794             0.521569             24
1200x200x100    1x24x1             0.550082             0.524885             24
1200x200x100    1x1x24              0.57045               0.5271             24
1200x200x100    12x2x1             0.563248             0.519854             24
1200x200x100    1x12x2             0.539367             0.521082             24
1200x200x100    2x1x12             0.566934             0.524297             24
1200x200x100    6x2x2                0.5468              0.52115             24
1200x200x100    2x6x2               0.53335             0.525835             24
1200x200x100    2x2x6              0.552056             0.522349             24
1200x200x100    4x3x2              0.575073             0.531971             24
1200x200x100    3x2x4              0.587915             0.533548             24
1200x200x100    2x3x4              0.550298             0.523114             24
1200x200x100    4x2x3              0.552428             0.521567             24
1200x200x100    3x4x2              0.546853             0.517193             24
1200x200x100    2x4x3              0.556295             0.523721             24
800x300x100     6x4                0.555706             0.523613             24
800x300x100     4x6                0.537998             0.530119             24
800x300x100     8x3                0.557969             0.520382             24
800x300x100     3x8                0.530961             0.523499             24
800x300x100     12x2               0.536875             0.521255             24
800x300x100     2x12               0.568955             0.524843             24
800x300x100     24x1               0.579488             0.527674             24
800x300x100     1x24               0.548254             0.522898             24
800x300x100     24x1x1             0.565056             0.524261             24
800x300x100     1x24x1              0.56316             0.522395             24
800x300x100     1x1x24             0.565508              0.52197             24
800x300x100     12x2x1             0.553574             0.520143             24
800x300x100     1x12x2             0.562439              0.52186             24
800x300x100     2x1x12             0.567024             0.525483             24
800x300x100     6x2x2              0.544718             0.523265             24
800x300x100     2x6x2              0.541691             0.522833             24
800x300x100     2x2x6              0.568587              0.51832             24
800x300x100     4x3x2              0.539225             0.522264             24
800x300x100     3x2x4              0.550232              0.52036             24
800x300x100     2x3x4              0.528327              0.52172             24
800x300x100     4x2x3              0.554025             0.522838             24
800x300x100     3x4x2              0.531865             0.524056             24
800x300x100     2x4x3              0.542841             0.523138             24
