mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.32,3.14
2,1000,0.31,6.47
4,1000,0.31,12.83
8,1000,0.31,26.08
16,1000,0.31,52.11
32,1000,0.36,88.12
64,1000,0.37,175.13
128,1000,0.49,261.88
256,1000,0.52,487.71
512,1000,0.60,851.07
1024,1000,0.70,1462.28
2048,1000,0.94,2176.51
4096,1000,1.33,3068.69
8192,1000,2.09,3914.08
16384,1000,4.25,3858.47
32768,1000,5.16,6345.89
65536,640,6.76,9693.94
131072,320,9.17,14288.34
262144,160,14.48,18100.03
524288,80,28.46,18418.94
1048576,40,66.63,15736.77
2097152,20,173.31,12100.91
4194304,10,361.94,11588.40
8388608,5,1126.56,7446.23
16777216,2,2735.18,6133.86
33554432,1,5703.42,5883.21
67108864,1,11335.56,5920.21
134217728,1,22010.47,6097.90
268435456,1,44303.55,6059.01
536870912,1,88049.12,6097.40
