mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.25,0.00
1,1000,1.28,0.78
2,1000,1.23,1.63
4,1000,1.23,3.25
8,1000,1.29,6.21
16,1000,1.25,12.79
32,1000,1.27,25.18
64,1000,1.32,48.61
128,1000,1.39,92.32
256,1000,1.43,178.55
512,1000,1.45,353.25
1024,1000,1.59,646.05
2048,1000,1.73,1184.61
4096,1000,2.27,1801.43
8192,1000,2.88,2849.07
16384,1000,3.56,4599.53
32768,1000,4.67,7023.68
65536,640,6.83,9597.07
131072,320,11.34,11559.57
262144,160,20.30,12910.84
524288,80,44.86,11688.04
1048576,40,113.82,9212.52
2097152,20,277.23,7564.63
4194304,10,680.22,6166.08
8388608,5,2043.57,4104.89
16777216,2,4528.30,3704.97
33554432,1,8878.53,3779.28
67108864,1,17759.84,3778.69
134217728,1,35797.43,3749.37
268435456,1,70580.17,3803.27
536870912,1,142678.64,3762.80
