mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.42,0.00
1,1000,5.39,0.19
2,1000,5.38,0.37
4,1000,5.35,0.75
8,1000,5.37,1.49
16,1000,5.48,2.92
32,1000,5.25,6.10
64,1000,5.40,11.85
128,1000,5.33,24.00
256,1000,5.36,47.79
512,1000,6.90,74.16
1024,1000,6.90,148.44
2048,1000,7.15,286.33
4096,1000,7.64,536.12
8192,1000,8.69,942.33
16384,1000,15.64,1047.59
32768,1000,24.46,1339.65
65536,640,41.97,1561.42
131072,320,77.05,1701.12
262144,160,56.59,4632.59
524288,80,97.38,5383.72
1048576,40,165.87,6321.51
2097152,20,322.81,6496.50
4194304,10,752.24,5575.72
8388608,5,1661.23,5049.64
16777216,2,3521.17,4764.68
33554432,1,7121.33,4711.82
67108864,1,13881.20,4834.51
134217728,1,27936.92,4804.31
268435456,1,56242.36,4772.83
536870912,1,109440.39,4905.60
