mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.13,0.00
1,1000,11.03,0.09
2,1000,11.07,0.18
4,1000,10.93,0.37
8,1000,10.76,0.74
16,1000,10.83,1.48
32,1000,10.51,3.05
64,1000,9.00,7.11
128,1000,9.04,14.16
256,1000,9.10,28.13
512,1000,11.53,44.40
1024,1000,11.74,87.25
2048,1000,14.64,139.93
4096,1000,15.41,265.87
8192,1000,17.84,459.13
16384,1000,29.02,564.58
32768,1000,41.42,791.06
65536,640,69.98,936.54
131072,320,131.56,996.26
262144,160,216.27,1212.13
524288,80,333.91,1570.13
1048576,40,555.14,1888.85
2097152,20,991.12,2115.94
4194304,10,1833.53,2287.55
8388608,5,3765.17,2227.95
16777216,2,7713.13,2175.15
33554432,1,15474.55,2168.36
67108864,1,30960.20,2167.59
134217728,1,61606.78,2178.62
268435456,1,124201.00,2161.30
536870912,1,246201.18,2180.62
