mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.57,0.00
1,1000,0.59,1.70
2,1000,0.59,3.38
4,1000,0.57,7.05
8,1000,0.60,13.43
16,1000,0.56,28.61
32,1000,0.76,41.91
64,1000,0.74,86.18
128,1000,1.30,98.65
256,1000,1.36,188.28
512,1000,1.45,353.79
1024,1000,1.81,565.67
2048,1000,2.46,833.89
4096,1000,3.39,1209.80
8192,1000,5.09,1608.08
16384,1000,5.61,2919.93
32768,1000,6.50,5038.90
65536,640,8.01,8179.87
131072,320,11.08,11824.85
262144,160,17.32,15132.64
524288,80,33.91,15459.37
1048576,40,76.59,13691.40
2097152,20,189.74,11053.03
4194304,10,402.65,10416.76
8388608,5,946.74,8860.53
16777216,2,3196.40,5248.79
33554432,1,7191.80,4665.65
67108864,1,14229.67,4716.12
134217728,1,28660.13,4683.08
268435456,1,56258.84,4771.44
536870912,1,111475.70,4816.04
