mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.76,0.00
1,1000,9.58,0.10
2,1000,9.50,0.21
4,1000,9.57,0.42
8,1000,9.56,0.84
16,1000,9.55,1.68
32,1000,9.61,3.33
64,1000,9.77,6.55
128,1000,9.71,13.18
256,1000,9.89,25.88
512,1000,11.30,45.30
1024,1000,11.46,89.36
2048,1000,11.89,172.23
4096,1000,13.11,312.51
8192,1000,15.09,542.93
16384,1000,26.94,608.06
32768,1000,39.71,825.14
65536,640,59.43,1102.71
131072,320,108.23,1211.10
262144,160,131.99,1986.14
524288,80,193.66,2707.27
1048576,40,357.59,2932.31
2097152,20,708.68,2959.23
4194304,10,1384.91,3028.58
8388608,5,2806.87,2988.60
16777216,2,5723.43,2931.32
33554432,1,11174.84,3002.68
67108864,1,22360.68,3001.20
134217728,1,44813.47,2995.03
268435456,1,90733.81,2958.49
536870912,1,172294.87,3116.00
