mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.46,0.0
1,1000,1.45,0.7
2,1000,1.43,1.41
4,1000,1.45,2.79
8,1000,1.45,5.58
16,1000,1.45,11.17
32,1000,1.45,22.54
64,1000,1.48,43.87
128,1000,1.59,81.45
256,1000,1.65,156.42
512,1000,1.67,310.5
1024,1000,1.72,600.97
2048,1000,1.94,1060.51
4096,1000,2.47,1666.63
8192,1000,3.08,2670.54
16384,1000,3.69,4449.19
32768,1000,4.71,6976.48
65536,640,6.76,9715.69
131072,320,10.99,11943.51
262144,160,19.48,13498.14
524288,80,46.23,11583.2
1048576,40,112.48,9339.06
2097152,20,292.54,7419.9
4194304,10,695.09,6060.73
8388608,5,1977.84,4248.44
16777216,2,4377.03,3841.37
33554432,1,8740.01,3846.08
67108864,1,17503.32,3840.23
134217728,1,34805.83,3862.01
268435456,1,69880.69,3845.13
536870912,1,140565.18,3820.86
