mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.56,0.0
1,1000,5.56,0.18
2,1000,5.55,0.36
4,1000,5.56,0.72
8,1000,5.47,1.46
16,1000,5.69,2.82
32,1000,5.61,5.72
64,1000,5.55,11.54
128,1000,5.65,22.69
256,1000,5.68,45.22
512,1000,7.25,70.76
1024,1000,7.36,139.49
2048,1000,7.58,270.93
4096,1000,8.15,503.93
8192,1000,9.3,884.14
16384,1000,16.39,1002.46
32768,1000,24.77,1323.15
65536,640,43.06,1524.27
131072,320,81.12,1619.85
262144,160,59.98,4388.28
524288,80,99.96,5252.57
1048576,40,169.6,6190.75
2097152,20,341.52,6155.62
4194304,10,750.21,5603.81
8388608,5,1725.16,4868.87
16777216,2,3571.61,4700.66
33554432,1,7171.94,4680.66
67108864,1,14173.4,4744.17
134217728,1,28057.07,4788.99
268435456,1,56014.48,4797.26
536870912,1,113471.65,4734.37
