mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.54,0.0
1,1000,0.54,1.85
2,1000,0.54,3.69
4,1000,0.54,7.37
8,1000,0.54,14.8
16,1000,0.53,30.47
32,1000,0.73,43.77
64,1000,0.75,85.95
128,1000,1.27,100.6
256,1000,1.3,197.93
512,1000,1.39,369.57
1024,1000,1.72,597.9
2048,1000,2.37,864.21
4096,1000,3.29,1247.11
8192,1000,5.03,1628.28
16384,1000,5.2,3159.77
32768,1000,6.01,5466.51
65536,640,7.45,8809.07
131072,320,10.11,12993.33
262144,160,15.76,16691.58
524288,80,28.84,18347.33
1048576,40,67.55,15610.9
2097152,20,177.42,11838.4
4194304,10,375.28,11197.85
8388608,5,896.38,9366.47
16777216,2,3170.6,5307.3
33554432,1,7012.04,4788.66
67108864,1,13940.49,4816.99
134217728,1,27610.38,4868.64
268435456,1,54612.02,4918.9
536870912,1,109680.89,4897.68
