mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.51,0.0
1,1000,1.52,0.66
2,1000,1.53,1.31
4,1000,1.53,2.61
8,1000,1.53,5.24
16,1000,1.53,10.5
32,1000,1.52,21.12
64,1000,1.63,39.27
128,1000,1.82,70.39
256,1000,1.85,138.58
512,1000,1.94,265.12
1024,1000,1.99,515.18
2048,1000,2.42,847.87
4096,1000,3.8,1080.37
8192,1000,3.98,2061.47
16384,1000,4.42,3707.23
32768,1000,5.44,6032.01
65536,640,7.25,9064.1
131072,320,11.2,11749.91
262144,160,18.95,13903.0
524288,80,39.07,13442.18
1048576,40,105.08,10027.96
2097152,20,249.6,8427.66
4194304,10,504.93,8332.45
8388608,5,1340.89,6319.34
16777216,2,4401.78,3834.48
33554432,1,10358.34,3240.94
67108864,1,20701.95,3242.22
134217728,1,41332.89,3247.53
268435456,1,80998.45,3314.74
536870912,1,157458.96,3410.35
