mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.66,0.0
1,1000,9.52,0.1
2,1000,9.65,0.21
4,1000,9.59,0.42
8,1000,9.65,0.83
16,1000,9.6,1.67
32,1000,9.61,3.33
64,1000,9.79,6.54
128,1000,9.81,13.05
256,1000,9.92,25.81
512,1000,11.5,44.58
1024,1000,11.67,87.81
2048,1000,12.16,168.54
4096,1000,13.71,299.33
8192,1000,15.08,543.85
16384,1000,27.43,597.85
32768,1000,41.02,799.67
65536,640,61.05,1074.16
131072,320,112.04,1171.31
262144,160,132.67,1978.74
524288,80,199.27,2634.8
1048576,40,368.69,2850.35
2097152,20,714.92,2939.2
4194304,10,1404.42,2990.52
8388608,5,2859.94,2938.04
16777216,2,5808.32,2890.41
33554432,1,11497.97,2923.56
67108864,1,23069.61,2913.11
134217728,1,46077.11,2914.78
268435456,1,92846.27,2892.84
536870912,1,184972.19,2908.76
