mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.0
1,1000,0.31,3.31
2,1000,0.31,6.54
4,1000,0.31,13.09
8,1000,0.3,26.59
16,1000,0.32,49.8
32,1000,0.33,99.59
64,1000,0.36,180.88
128,1000,0.41,317.19
256,1000,0.47,544.89
512,1000,0.64,800.75
1024,1000,0.73,1407.66
2048,1000,0.86,2384.28
4096,1000,1.81,2270.06
8192,1000,2.19,3760.36
16384,1000,2.76,5972.5
32768,1000,3.87,8508.54
65536,640,5.92,11148.96
131072,320,10.37,12764.06
262144,160,18.84,13991.57
524288,80,41.88,12584.73
1048576,40,111.21,9465.98
2097152,20,262.16,8021.3
4194304,10,680.59,6185.28
8388608,5,1951.51,4303.3
16777216,2,4438.73,3781.59
33554432,1,9210.52,3646.16
67108864,1,18425.03,3648.89
134217728,1,36155.64,3721.44
268435456,1,70107.15,3834.71
536870912,1,139855.78,3851.0
