mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.0
1,1000,0.23,4.35
2,1000,0.23,8.56
4,1000,0.23,17.46
8,1000,0.23,34.5
16,1000,0.23,69.36
32,1000,0.27,120.43
64,1000,0.26,243.99
128,1000,0.38,334.49
256,1000,0.41,620.35
512,1000,0.49,1042.39
1024,1000,0.61,1687.08
2048,1000,0.83,2475.35
4096,1000,1.22,3363.23
8192,1000,2.01,4076.04
16384,1000,3.14,5225.32
32768,1000,5.11,6417.11
65536,640,8.72,7526.82
131072,320,15.91,8257.84
262144,160,15.51,17002.75
524288,80,28.37,18590.53
1048576,40,67.82,15555.59
2097152,20,178.51,11802.26
4194304,10,383.61,11000.84
8388608,5,1128.53,7454.34
16777216,2,3137.66,5439.25
33554432,1,6320.33,5314.58
67108864,1,12478.61,5383.0
134217728,1,24374.68,5521.21
268435456,1,49105.78,5470.05
536870912,1,97668.73,5503.35
