mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.58,0.0
1,1000,0.61,1.63
2,1000,0.61,3.29
4,1000,0.61,6.53
8,1000,0.6,13.31
16,1000,0.66,24.26
32,1000,0.72,44.35
64,1000,0.79,80.91
128,1000,0.97,131.94
256,1000,1.14,225.81
512,1000,1.32,387.75
1024,1000,1.5,683.57
2048,1000,1.92,1073.09
4096,1000,2.78,1484.75
8192,1000,3.35,2454.91
16384,1000,3.7,4450.89
32768,1000,5.13,6415.92
65536,640,6.91,9553.22
131072,320,11.47,11520.28
262144,160,19.43,13570.05
524288,80,41.76,12646.98
1048576,40,110.11,9591.29
2097152,20,254.7,8262.69
4194304,10,568.99,7605.59
8388608,5,1546.76,5460.81
16777216,2,4978.89,3385.64
33554432,1,10829.41,3104.12
67108864,1,21514.49,3125.22
134217728,1,47151.84,2949.46
268435456,1,83744.94,3215.14
536870912,1,164458.96,3278.94
