mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.48,0.0
1,1000,0.47,2.13
2,1000,0.47,4.28
4,1000,0.47,8.58
8,1000,0.48,16.95
16,1000,0.47,34.02
32,1000,0.62,52.18
64,1000,0.64,99.58
128,1000,1.49,99.55
256,1000,1.19,216.17
512,1000,1.31,391.02
1024,1000,1.64,626.57
2048,1000,2.28,901.64
4096,1000,3.22,1277.27
8192,1000,4.91,1670.1
16384,1000,7.77,2110.7
32768,1000,13.54,2423.0
65536,640,24.92,2633.52
131072,320,45.87,2859.72
262144,160,17.23,15285.01
524288,80,31.45,16743.43
1048576,40,74.05,14199.29
2097152,20,185.79,11329.22
4194304,10,406.64,10394.6
8388608,5,1054.65,8389.96
16777216,2,3265.21,5171.28
33554432,1,7152.9,4702.93
67108864,1,14343.55,4693.9
134217728,1,28851.43,4669.72
268435456,1,54684.24,4927.53
536870912,1,109404.94,4919.2
