mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.76,0.00
1,1000,5.91,0.17
2,1000,5.90,0.34
4,1000,5.90,0.68
8,1000,5.79,1.38
16,1000,5.79,2.76
32,1000,5.84,5.48
64,1000,5.85,10.95
128,1000,5.96,21.49
256,1000,5.89,43.47
512,1000,5.99,85.41
1024,1000,6.72,152.35
2048,1000,6.39,320.48
4096,1000,7.36,556.74
8192,1000,7.85,1043.01
16384,1000,10.27,1594.71
32768,1000,16.93,1935.80
65536,640,36.83,1779.22
131072,320,54.45,2407.20
262144,160,76.30,3435.89
524288,80,120.76,4341.42
1048576,40,200.57,5227.87
2097152,20,391.98,5350.14
4194304,10,807.20,5196.10
8388608,5,1839.14,4561.17
16777216,2,3850.49,4357.16
33554432,1,7767.04,4320.11
67108864,1,15389.71,4360.63
134217728,1,30374.70,4418.73
268435456,1,59760.60,4491.85
536870912,1,110644.03,4852.24
