mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.32,0.00
1,1000,0.33,3.06
2,1000,0.33,6.06
4,1000,0.35,11.42
8,1000,0.32,24.73
16,1000,0.36,44.07
32,1000,0.37,87.51
64,1000,0.39,164.76
128,1000,0.44,292.44
256,1000,0.49,521.87
512,1000,0.69,745.36
1024,1000,0.81,1257.60
2048,1000,0.88,2331.89
4096,1000,1.99,2054.42
8192,1000,2.44,3354.05
16384,1000,3.02,5428.07
32768,1000,4.23,7737.60
65536,640,6.62,9906.37
131072,320,11.44,11459.41
262144,160,20.83,12586.25
524288,80,47.23,11100.76
1048576,40,120.54,8699.30
2097152,20,271.85,7714.26
4194304,10,679.77,6170.23
8388608,5,2024.53,4143.48
16777216,2,4450.46,3769.77
33554432,1,9480.92,3539.15
67108864,1,19757.48,3396.63
134217728,1,39156.12,3427.76
268435456,1,73657.13,3644.39
536870912,1,148114.14,3624.71
