mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.23,4.28
2,1000,0.23,8.52
4,1000,0.24,17.01
8,1000,0.24,33.99
16,1000,0.24,67.86
32,1000,0.27,117.39
64,1000,0.27,236.16
128,1000,0.39,327.16
256,1000,0.43,601.36
512,1000,0.51,1008.39
1024,1000,0.63,1630.59
2048,1000,0.85,2397.93
4096,1000,1.26,3261.87
8192,1000,2.07,3958.11
16384,1000,3.21,5104.55
32768,1000,5.17,6337.17
65536,640,8.98,7301.49
131072,320,16.63,7883.16
262144,160,16.99,15429.31
524288,80,30.57,17149.09
1048576,40,72.81,14401.32
2097152,20,188.76,11110.36
4194304,10,401.49,10446.95
8388608,5,1173.46,7148.62
16777216,2,2916.61,5752.29
33554432,1,6486.06,5173.31
67108864,1,12926.87,5191.42
134217728,1,25607.56,5241.33
268435456,1,49921.35,5377.17
536870912,1,98025.52,5476.85
