mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.89,0.00
1,1000,15.94,0.06
2,1000,16.03,0.12
4,1000,15.99,0.25
8,1000,16.00,0.50
16,1000,16.00,1.00
32,1000,15.95,2.01
64,1000,16.01,4.00
128,1000,16.62,7.70
256,1000,16.52,15.50
512,1000,16.78,30.52
1024,1000,17.22,59.48
2048,1000,38.76,52.84
4096,1000,39.61,103.41
8192,1000,40.21,203.72
16384,1000,42.92,381.75
32768,1000,51.68,634.09
65536,640,85.55,766.08
131072,320,151.29,866.36
262144,160,227.50,1152.27
524288,80,345.19,1518.84
1048576,40,573.04,1829.85
2097152,20,1033.97,2028.26
4194304,10,2132.35,1966.99
8388608,5,4375.62,1917.13
16777216,2,8664.82,1936.25
33554432,1,17098.09,1962.47
67108864,1,32973.65,2035.23
134217728,1,65324.04,2054.65
268435456,1,128595.05,2087.45
536870912,1,260409.47,2061.64
