mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001, gnode003
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.37,0.73
2,1000,1.37,1.46
4,1000,1.37,2.91
8,1000,1.37,5.83
16,1000,1.36,11.74
32,1000,1.41,22.75
64,1000,1.71,37.33
128,1000,1.75,73.31
256,1000,2.02,126.55
512,1000,2.09,244.85
1024,1000,2.33,439.41
2048,1000,2.99,684.98
4096,1000,3.99,1026.06
8192,1000,5.54,1479.93
16384,1000,7.51,2180.89
32768,1000,10.03,3268.35
65536,640,14.52,4512.19
131072,320,23.53,5571.45
262144,160,33.10,7919.27
524288,80,55.49,9448.49
1048576,40,98.88,10605.01
2097152,20,184.85,11345.22
4194304,10,354.84,11820.42
8388608,5,699.31,11995.63
16777216,2,1383.08,12130.33
33554432,1,2769.50,12115.69
67108864,1,5512.07,12174.89
134217728,1,11025.70,12173.18
268435456,1,22064.70,12165.83
536870912,1,44564.43,12047.07
