mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.34,0.00
1,1000,9.44,0.11
2,1000,9.49,0.21
4,1000,9.44,0.42
8,1000,9.39,0.85
16,1000,9.37,1.71
32,1000,9.39,3.41
64,1000,9.47,6.76
128,1000,9.82,13.03
256,1000,9.85,25.99
512,1000,9.87,51.85
1024,1000,11.48,89.22
2048,1000,10.50,195.06
4096,1000,12.73,321.83
8192,1000,13.31,615.70
16384,1000,18.71,875.58
32768,1000,30.23,1083.83
65536,640,72.16,908.15
131072,320,98.97,1324.40
262144,160,152.46,1719.44
524288,80,232.98,2250.34
1048576,40,404.29,2593.64
2097152,20,755.65,2775.31
4194304,10,1493.46,2808.44
8388608,5,2963.44,2830.70
16777216,2,6012.42,2790.43
33554432,1,11936.59,2811.06
67108864,1,23810.04,2818.51
134217728,1,47557.16,2822.24
268435456,1,97790.36,2745.01
536870912,1,192848.76,2783.90
