mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.55,0.00
1,1000,0.57,1.74
2,1000,0.57,3.50
4,1000,0.57,6.97
8,1000,0.57,14.13
16,1000,0.62,26.01
32,1000,0.70,45.88
64,1000,0.79,80.61
128,1000,0.90,142.88
256,1000,1.05,243.99
512,1000,1.27,404.17
1024,1000,1.47,697.17
2048,1000,1.93,1058.87
4096,1000,2.50,1636.55
8192,1000,3.08,2657.12
16384,1000,3.39,4829.94
32768,1000,4.74,6911.33
65536,640,6.27,10452.20
131072,320,10.18,12878.78
262144,160,17.84,14696.25
524288,80,37.85,13851.17
1048576,40,99.90,10495.75
2097152,20,240.62,8715.73
4194304,10,494.68,8478.82
8388608,5,1315.12,6378.58
16777216,2,4357.73,3849.99
33554432,1,10587.04,3169.39
67108864,1,21846.06,3071.90
134217728,1,66824.22,2008.52
268435456,1,85052.03,3156.13
536870912,1,168451.31,3187.10
