mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.49,2.05
2,1000,0.50,4.03
4,1000,0.48,8.26
8,1000,0.50,16.01
16,1000,0.49,32.77
32,1000,0.64,50.39
64,1000,0.67,94.95
128,1000,1.19,107.90
256,1000,1.25,204.17
512,1000,1.37,372.91
1024,1000,1.73,591.71
2048,1000,2.37,864.89
4096,1000,3.34,1226.71
8192,1000,5.05,1623.39
16384,1000,7.97,2056.87
32768,1000,13.72,2387.57
65536,640,25.24,2596.55
131072,320,46.20,2837.27
262144,160,18.35,14285.53
524288,80,33.48,15658.34
1048576,40,78.26,13397.86
2097152,20,192.21,10910.66
4194304,10,406.93,10307.21
8388608,5,959.23,8745.18
16777216,2,3405.80,4926.07
33554432,1,7160.16,4686.27
67108864,1,14437.59,4648.20
134217728,1,28559.07,4699.65
268435456,1,51486.79,5213.68
536870912,1,102241.20,5251.02
