mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> -26.75, bandwidth[Mbytes/sec] (computed) -> 5870.35
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.31,0.0,-26.75,-0.0
1,1000,0.31,3.17,-26.75,-0.04
2,1000,0.33,6.15,-26.75,-0.07
4,1000,0.31,12.82,-26.75,-0.15
8,1000,0.32,25.52,-26.75,-0.3
16,1000,0.31,51.41,-26.75,-0.6
32,1000,0.37,86.14,-26.75,-1.2
64,1000,0.38,169.69,-26.74,-2.39
128,1000,0.5,255.83,-26.73,-4.79
256,1000,0.52,488.43,-26.71,-9.58
512,1000,0.61,840.8,-26.67,-19.2
1024,1000,0.71,1441.82,-26.58,-38.53
2048,1000,0.95,2150.16,-26.41,-77.56
4096,1000,1.34,3072.47,-26.06,-157.2
8192,1000,2.15,3816.22,-25.36,-323.05
16384,1000,4.42,3715.1,-23.96,-683.74
32768,1000,5.28,6219.73,-21.17,-1547.81
65536,640,7.0,9380.23,-15.59,-4204.55
131072,320,9.66,13609.45,-4.42,-29655.86
262144,160,14.99,17528.05,17.91,14633.01
524288,80,28.54,18394.98,62.58,8377.45
1048576,40,66.52,15763.75,151.92,6902.13
2097152,20,173.84,12065.55,330.6,6343.57
4194304,10,369.34,11360.89,687.94,6096.86
8388608,5,1149.1,7303.95,1402.64,5980.57
16777216,2,2803.47,5985.57,2832.04,5924.07
33554432,1,5795.43,5792.16,5690.83,5896.22
67108864,1,11724.65,5728.62,11408.42,5882.4
134217728,1,22748.81,5906.75,22843.6,5875.51
268435456,1,45851.13,5859.39,45713.95,5872.07
536870912,1,91371.85,5878.28,91454.66,5870.35
