mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
#lambda[usec] (computed) -> 115.68, bandwidth[Mbytes/sec] (computed) -> 2557.47
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,9.34,0.0,115.68,0.0
1,1000,9.12,0.11,115.68,0.01
2,1000,9.07,0.23,115.68,0.02
4,1000,9.03,0.45,115.69,0.03
8,1000,8.94,0.9,115.69,0.07
16,1000,8.85,1.83,115.69,0.14
32,1000,8.78,3.68,115.7,0.28
64,1000,8.5,7.54,115.71,0.55
128,1000,8.52,15.05,115.73,1.11
256,1000,8.67,29.57,115.78,2.21
512,1000,10.9,47.07,115.88,4.42
1024,1000,11.43,90.17,116.08,8.82
2048,1000,13.89,147.96,116.48,17.58
4096,1000,14.85,276.74,117.28,34.92
8192,1000,17.0,482.94,118.89,68.91
16384,1000,27.42,598.86,122.09,134.2
32768,1000,38.55,852.88,128.49,255.02
65536,640,64.7,1017.02,141.3,463.82
131072,320,120.68,1093.02,166.91,785.3
262144,160,162.92,1665.53,218.13,1201.79
524288,80,268.3,1988.91,320.57,1635.47
1048576,40,479.47,2202.13,525.46,1995.53
2097152,20,867.48,2429.29,935.24,2242.36
4194304,10,1605.21,2633.86,1754.8,2390.19
8388608,5,3406.06,2473.23,3393.92,2471.66
16777216,2,7076.11,2393.54,6672.15,2514.51
33554432,1,13808.3,2445.19,13228.62,2536.5
67108864,1,28118.82,2416.42,26341.55,2547.64
134217728,1,52858.35,2565.35,52567.41,2553.25
268435456,1,104101.8,2604.01,105019.14,2556.06
536870912,1,210038.95,2578.0,209922.59,2557.47
