mpirun --map-by core --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
#lambda[usec] (computed) -> -23.42, bandwidth[Mbytes/sec] (computed) -> 5489.25
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.24,0.0,-23.42,-0.0
1,1000,0.23,4.35,-23.42,-0.04
2,1000,0.23,8.56,-23.42,-0.09
4,1000,0.23,17.46,-23.42,-0.17
8,1000,0.23,34.5,-23.41,-0.34
16,1000,0.23,69.36,-23.41,-0.68
32,1000,0.27,120.43,-23.41,-1.37
64,1000,0.26,243.99,-23.4,-2.73
128,1000,0.38,334.49,-23.39,-5.47
256,1000,0.41,620.35,-23.37,-10.95
512,1000,0.49,1042.39,-23.32,-21.95
1024,1000,0.61,1687.08,-23.23,-44.08
2048,1000,0.83,2475.35,-23.04,-88.88
4096,1000,1.22,3363.23,-22.67,-180.68
8192,1000,2.01,4076.04,-21.92,-373.67
16384,1000,3.14,5225.32,-20.43,-801.95
32768,1000,5.11,6417.11,-17.44,-1878.38
65536,640,8.72,7526.82,-11.47,-5711.74
131072,320,15.91,8257.84,0.47,280128.0
262144,160,15.51,17002.75,24.35,10764.99
524288,80,28.37,18590.53,72.12,7269.78
1048576,40,67.82,15555.59,167.65,6254.43
2097152,20,178.51,11802.26,358.72,5846.17
4194304,10,383.61,11000.84,740.86,5661.39
8388608,5,1128.53,7454.34,1505.14,5573.32
16777216,2,3137.66,5439.25,3033.69,5530.3
33554432,1,6320.33,5314.58,6090.8,5509.04
67108864,1,12478.61,5383.0,12205.01,5498.47
134217728,1,24374.68,5521.21,24433.43,5493.2
268435456,1,49105.78,5470.05,48890.28,5490.57
536870912,1,97668.73,5503.35,97803.97,5489.25
