mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001
#lambda[usec] (computed) -> 3.59, bandwidth[Mbytes/sec] (computed) -> 4892.2
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.48,0.0,3.59,0.0
1,1000,0.47,2.13,3.59,0.28
2,1000,0.47,4.28,3.59,0.56
4,1000,0.47,8.58,3.59,1.11
8,1000,0.48,16.95,3.59,2.23
16,1000,0.47,34.02,3.6,4.45
32,1000,0.62,52.18,3.6,8.89
64,1000,0.64,99.58,3.6,17.75
128,1000,1.49,99.55,3.62,35.38
256,1000,1.19,216.17,3.64,70.25
512,1000,1.31,391.02,3.7,138.51
1024,1000,1.64,626.57,3.8,269.39
2048,1000,2.28,901.64,4.01,510.66
4096,1000,3.22,1277.27,4.43,924.8
8192,1000,4.91,1670.1,5.27,1555.55
16384,1000,7.77,2110.7,6.94,2360.55
32768,1000,13.54,2423.0,10.29,3184.56
65536,640,24.92,2633.52,16.99,3857.91
131072,320,45.87,2859.72,30.38,4313.99
262144,160,17.23,15285.01,57.17,4585.01
524288,80,31.45,16743.43,110.76,4733.7
1048576,40,74.05,14199.29,217.92,4811.73
2097152,20,185.79,11329.22,432.25,4851.71
4194304,10,406.64,10394.6,860.91,4871.95
8388608,5,1054.65,8389.96,1718.22,4882.14
16777216,2,3265.21,5171.28,3432.86,4887.24
33554432,1,7152.9,4702.93,6862.12,4889.8
67108864,1,14343.55,4693.9,13720.66,4891.08
134217728,1,28851.43,4669.72,27437.72,4891.72
268435456,1,54684.24,4927.53,54871.85,4892.04
536870912,1,109404.94,4919.2,109740.11,4892.2
