mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> -57.35, bandwidth[Mbytes/sec] (computed) -> 3824.81
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       1.46             0                -57.35                       -0
        1            1000       1.45           0.7                -57.35                    -0.02
        2            1000       1.43          1.41                -57.35                    -0.03
        4            1000       1.45          2.79                -57.35                    -0.07
        8            1000       1.45          5.58                -57.35                    -0.14
       16            1000       1.45         11.17                -57.35                    -0.28
       32            1000       1.45         22.54                -57.35                    -0.56
       64            1000       1.48         43.87                -57.34                    -1.12
      128            1000       1.59         81.45                -57.32                    -2.23
      256            1000       1.65        156.42                -57.29                    -4.47
      512            1000       1.67         310.5                -57.22                    -8.95
     1024            1000       1.72        600.97                -57.09                   -17.94
     2048            1000       1.94       1060.51                -56.82                   -36.04
     4096            1000       2.47       1666.63                -56.28                   -72.78
     8192            1000       3.08       2670.54                -55.21                  -148.37
    16384            1000       3.69       4449.19                -53.07                  -308.73
    32768            1000       4.71       6976.48                -48.78                   -671.7
    65536             640       6.76       9715.69                -40.21                 -1629.73
   131072             320      10.99       11943.5                -23.07                 -5681.17
   262144             160      19.48       13498.1                 11.21                  23381.5
   524288              80      46.23       11583.2                 79.78                  6571.88
  1048576              40     112.48       9339.06                216.91                  4834.17
  2097152              20     292.54        7419.9                491.17                  4269.69
  4194304              10     695.09       6060.73                1039.7                  4034.15
  8388608               5    1977.84       4248.44               2136.75                  3925.87
 16777216               2    4377.03       3841.37               4330.86                  3873.88
 33554432               1    8740.01       3846.08               8719.07                   3848.4
 67108864               1    17503.3       3840.23               17495.5                  3835.78
134217728               1    34805.8       3862.01               35048.3                   3829.5
268435456               1    69880.7       3845.13                 70154                  3826.37
536870912               1     140565       3820.86                140365                  3824.81
