mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> 7.75, bandwidth[Mbytes/sec] (computed) -> 2900.99
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       9.66             0                  7.75                        0
        1            1000       9.52           0.1                  7.75                     0.13
        2            1000       9.65          0.21                  7.75                     0.26
        4            1000       9.59          0.42                  7.75                     0.52
        8            1000       9.65          0.83                  7.75                     1.03
       16            1000        9.6          1.67                  7.75                     2.06
       32            1000       9.61          3.33                  7.76                     4.12
       64            1000       9.79          6.54                  7.77                     8.24
      128            1000       9.81         13.05                  7.79                    16.42
      256            1000       9.92         25.81                  7.84                    32.66
      512            1000       11.5         44.58                  7.93                     64.6
     1024            1000      11.67         87.81                   8.1                   126.38
     2048            1000      12.16        168.54                  8.46                   242.21
     4096            1000      13.71        299.33                  9.16                    447.1
     8192            1000      15.08        543.85                 10.57                   774.79
    16384            1000      27.43        597.85                  13.4                  1222.97
    32768            1000      41.02        799.67                 19.04                  1720.62
    65536             640      61.05       1074.16                 30.34                   2160.1
   131072             320     112.04       1171.31                 52.93                  2476.36
   262144             160     132.67       1978.74                 98.11                  2671.96
   524288              80     199.27        2634.8                188.47                  2781.83
  1048576              40     368.69       2850.35                369.19                  2840.22
  2097152              20     714.92        2939.2                730.63                  2870.34
  4194304              10    1404.42       2990.52               1453.51                  2885.65
  8388608               5    2859.94       2938.04               2899.26                  2893.36
 16777216               2    5808.32       2890.41               5790.77                  2897.23
 33554432               1      11498       2923.56               11573.8                  2899.17
 67108864               1    23069.6       2913.11               23139.8                  2900.14
134217728               1    46077.1       2914.78               46271.9                  2900.63
268435456               1    92846.3       2892.84               92536.1                  2900.87
536870912               1     184972       2908.76                185065                  2900.99
