mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 ./IMB-MPI1 PingPong -msglog 29
gnode001
#lambda[usec] (computed) -> 53.4, bandwidth[Mbytes/sec] (computed) -> 4670.31
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       5.63             0                  53.4                        0
        1            1000       5.76          0.18                  53.4                     0.02
        2            1000       5.79          0.35                  53.4                     0.04
        4            1000       5.79          0.69                  53.4                     0.07
        8            1000       5.77          1.39                  53.4                     0.15
       16            1000       5.71          2.82                 53.41                      0.3
       32            1000       5.77          5.57                 53.41                      0.6
       64            1000       5.89         10.92                 53.42                      1.2
      128            1000       5.87         21.96                 53.43                      2.4
      256            1000       5.82          44.3                 53.46                     4.79
      512            1000       5.92         87.05                 53.51                     9.57
     1024            1000       6.61        155.82                 53.62                     19.1
     2048            1000       6.32        325.53                 53.84                    38.04
     4096            1000       7.34        560.62                 54.28                    75.46
     8192            1000       7.79       1056.19                 55.16                   148.52
    16384            1000      10.33       1595.37                 56.91                    287.9
    32768            1000      16.27       2023.73                 60.42                   542.37
    65536             640      34.64       1900.79                 67.43                   971.93
   131072             320      51.21       2571.22                 81.45                  1609.14
   262144             160      72.82       3618.37                109.51                  2393.86
   524288              80     116.04       4532.28                165.61                  3165.79
  1048576              40     192.62       5460.01                277.82                  3774.32
  2097152              20     376.65       5579.54                502.23                  4175.65
  4194304              10     781.78        5374.6                951.06                  4410.12
  8388608               5    1812.43       4633.24               1848.73                  4537.51
 16777216               2    3736.09       4495.55               3644.05                     4604
 33554432               1    7423.32        4527.1               7234.69                  4637.99
 67108864               1    14857.2       4523.12                 14416                  4655.17
134217728               1    29159.9       4609.42               28778.6                  4663.81
268435456               1    58360.6       4605.91               57503.7                  4668.14
536870912               1     114363       4699.98                114954                  4670.31
