mpirun --map-by node --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
gnode001, gnode003
#lambda[usec] (computed) -> -3.41, bandwidth[Mbytes/sec] (computed) -> 12059.03
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       1.39             0                 -3.41                       -0
        1            1000       1.37          0.73                 -3.41                    -0.29
        2            1000       1.37          1.46                 -3.41                    -0.59
        4            1000       1.37          2.91                 -3.41                    -1.17
        8            1000       1.38           5.8                 -3.41                    -2.34
       16            1000       1.38         11.61                 -3.41                    -4.69
       32            1000        1.4         22.83                 -3.41                    -9.38
       64            1000       1.71         37.54                 -3.41                   -18.78
      128            1000       1.74         73.61                  -3.4                   -37.62
      256            1000       2.91         94.66                 -3.39                   -75.47
      512            1000       2.09        244.74                 -3.37                  -151.89
     1024            1000       2.35        436.54                 -3.33                  -307.65
     2048            1000       3.02        678.51                 -3.24                   -631.4
     4096            1000       3.99       1027.71                 -3.07                 -1332.58
     8192            1000       5.57        1470.3                 -2.73                  -2996.3
    16384            1000       7.41       2210.54                 -2.05                 -7974.06
    32768            1000      10.13       3234.18                  -0.7                 -47086.7
    65536             640      14.71       4455.33                  2.02                  32417.9
   131072             320      23.72       5525.68                  7.46                  17577.9
   262144             160      33.52       7821.03                 18.33                    14304
   524288              80      56.45       9289.57                 40.07                  13085.4
  1048576              40      98.85       10608.1                 83.55                  12550.8
  2097152              20     185.55       11302.6                170.51                  12299.5
  4194304              10     355.37       11802.5                344.43                  12177.6
  8388608               5     699.03       12000.3                692.27                  12117.6
 16777216               2    1384.57       12117.3               1387.95                  12087.8
 33554432               1    2763.79       12140.8               2779.32                  12072.9
 67108864               1    5508.72       12182.3               5562.04                  12065.5
134217728               1    11045.3       12151.6               11127.5                  12061.8
268435456               1    22087.8       12153.1               22258.4                    12060
536870912               1    44633.5       12028.4               44520.2                    12059
