mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.47,0.68
2,1000,1.46,1.37
4,1000,1.45,2.77
8,1000,1.51,5.31
16,1000,1.53,10.47
32,1000,1.50,21.36
64,1000,1.45,44.09
128,1000,1.39,92.38
256,1000,1.55,165.63
512,1000,1.55,330.83
1024,1000,1.56,656.96
2048,1000,1.76,1163.87
4096,1000,2.19,1871.63
8192,1000,2.67,3067.13
16384,1000,3.09,5299.19
32768,1000,3.93,8346.91
65536,640,5.46,12008.38
131072,320,8.30,15791.62
262144,160,14.24,18405.70
524288,80,30.70,17080.35
1048576,40,84.66,12386.40
2097152,20,192.84,10874.98
4194304,10,481.43,8712.11
8388608,5,1692.77,4955.54
16777216,2,3982.20,4213.05
33554432,1,8169.14,4107.46
67108864,1,16241.06,4132.05
134217728,1,32379.87,4145.10
268435456,1,64276.10,4176.29
536870912,1,126442.96,4245.95
