mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.79,0.00
1,1000,4.82,0.21
2,1000,4.80,0.42
4,1000,4.79,0.83
8,1000,4.81,1.66
16,1000,4.80,3.34
32,1000,4.80,6.66
64,1000,4.83,13.25
128,1000,4.85,26.41
256,1000,4.87,52.55
512,1000,6.47,79.17
1024,1000,6.60,155.22
2048,1000,6.86,298.40
4096,1000,7.50,546.06
8192,1000,8.36,979.70
16384,1000,14.87,1101.64
32768,1000,22.13,1480.96
65536,640,39.59,1655.26
131072,320,74.34,1763.15
262144,160,53.78,4874.26
524288,80,88.00,5957.71
1048576,40,151.52,6920.38
2097152,20,281.84,7440.91
4194304,10,634.94,6605.79
8388608,5,1463.95,5730.14
16777216,2,3178.59,5278.19
33554432,1,6448.84,5203.18
67108864,1,12903.89,5200.67
134217728,1,25516.18,5260.10
268435456,1,50875.76,5276.29
536870912,1,102642.38,5230.50
