mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.53,0.00
1,1000,1.53,0.65
2,1000,1.53,1.31
4,1000,1.53,2.62
8,1000,1.54,5.19
16,1000,1.52,10.52
32,1000,1.54,20.80
64,1000,1.62,39.58
128,1000,1.82,70.15
256,1000,1.90,134.55
512,1000,1.99,257.47
1024,1000,2.03,505.33
2048,1000,2.39,856.69
4096,1000,3.53,1161.52
8192,1000,3.97,2061.08
16384,1000,4.25,3858.32
32768,1000,5.10,6421.48
65536,640,6.67,9830.62
131072,320,9.67,13553.64
262144,160,15.22,17220.82
524288,80,32.61,16075.52
1048576,40,84.88,12353.95
2097152,20,201.98,10383.04
4194304,10,412.93,10157.31
8388608,5,1050.72,7983.67
16777216,2,3762.93,4458.55
33554432,1,9576.48,3503.84
67108864,1,19151.88,3504.04
134217728,1,38215.01,3512.17
268435456,1,75373.55,3561.40
536870912,1,147612.67,3637.02
