mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.0
1,1000,0.25,3.98
2,1000,0.25,7.9
4,1000,0.25,16.04
8,1000,0.25,32.13
16,1000,0.25,64.27
32,1000,0.29,109.15
64,1000,0.29,219.94
128,1000,0.38,334.82
256,1000,0.44,579.84
512,1000,0.48,1080.18
1024,1000,0.6,1717.09
2048,1000,0.83,2462.8
4096,1000,1.22,3373.72
8192,1000,2.0,4102.68
16384,1000,3.64,4503.1
32768,1000,4.46,7355.96
65536,640,6.03,10873.0
131072,320,8.48,15466.29
262144,160,12.46,21043.13
524288,80,24.32,21567.21
1048576,40,50.8,20647.39
2097152,20,134.79,15559.14
4194304,10,304.83,13760.16
8388608,5,910.47,9214.02
16777216,2,2389.5,7021.32
33554432,1,5353.75,6267.6
67108864,1,10845.43,6187.81
134217728,1,21562.82,6224.6
268435456,1,42930.82,6252.84
536870912,1,85348.17,6290.47
