mpiexec -n 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.0
1,1000,0.44,2.25
2,1000,0.44,4.52
4,1000,0.44,9.02
8,1000,0.44,18.13
16,1000,0.44,36.21
32,1000,0.62,51.56
64,1000,0.61,104.0
128,1000,1.0,127.82
256,1000,1.13,226.98
512,1000,1.22,419.12
1024,1000,1.47,697.03
2048,1000,2.25,909.2
4096,1000,3.25,1259.95
8192,1000,5.19,1578.44
16384,1000,4.65,3527.89
32768,1000,5.46,6004.17
65536,640,6.74,9721.35
131072,320,9.52,13773.62
262144,160,12.87,20376.78
524288,80,25.7,20406.56
1048576,40,51.39,20419.7
2097152,20,139.56,15029.68
4194304,10,295.0,14218.45
8388608,5,643.41,13038.72
16777216,2,2128.48,7882.69
33554432,1,5920.64,5667.39
67108864,1,12506.62,5365.93
134217728,1,25040.43,5360.11
268435456,1,49492.11,5423.86
536870912,1,97400.45,5512.11
