mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 ./IMB-MPI1 PingPong -msglog 29
tnode009
lamba, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.54
2,1000,0.28,7.20
4,1000,0.28,14.30
8,1000,0.28,28.76
16,1000,0.31,52.15
32,1000,0.31,103.96
64,1000,0.34,186.10
128,1000,0.40,316.78
256,1000,0.47,541.50
512,1000,0.62,821.34
1024,1000,0.77,1335.51
2048,1000,0.92,2227.46
4096,1000,1.80,2273.03
8192,1000,2.12,3866.74
16384,1000,2.63,6240.83
32768,1000,3.99,8218.81
65536,640,5.30,12363.58
131072,320,10.34,12678.19
262144,160,19.20,13650.59
524288,80,39.45,13290.96
1048576,40,91.76,11427.22
2097152,20,223.00,9404.21
4194304,10,531.01,7898.71
8388608,5,1612.60,5201.93
16777216,2,3920.75,4279.08
33554432,1,8383.11,4002.62
67108864,1,17629.18,3806.69
134217728,1,34682.39,3869.91
268435456,1,65313.32,4109.96
536870912,1,128216.99,4187.21
